temperature,city,pression,date
284.16,"paris, France",1028,2026-05-21 05:11
284.16,"Paris, Kentucky ",1028,2026-05-21 05:11
282.62,london,1028,2026-05-21 05:11
294.49,"Washington, District of Columbia",1018,2026-05-21 05:11
284.16,"paris, France",1028,2026-05-21 05:10
284.16,"Paris, Kentucky ",1028,2026-05-21 05:10
282.62,london,1028,2026-05-21 05:10
294.49,"Washington, District of Columbia",1018,2026-05-21 05:10
284.16,"paris, France",1028,2026-05-21 05:09
284.16,"Paris, Kentucky ",1028,2026-05-21 05:09
282.62,london,1028,2026-05-21 05:09
294.49,"Washington, District of Columbia",1018,2026-05-21 05:09
284.16,"paris, France",1028,2026-05-21 05:08
284.16,"Paris, Kentucky ",1028,2026-05-21 05:08
282.62,london,1028,2026-05-21 05:08
294.49,"Washington, District of Columbia",1018,2026-05-21 05:08
284.16,"paris, France",1028,2026-05-21 05:07
284.16,"Paris, Kentucky ",1028,2026-05-21 05:07
282.62,london,1028,2026-05-21 05:07
294.49,"Washington, District of Columbia",1018,2026-05-21 05:07
284.16,"paris, France",1028,2026-05-21 05:06
284.16,"Paris, Kentucky ",1028,2026-05-21 05:06
282.62,london,1028,2026-05-21 05:06
294.49,"Washington, District of Columbia",1018,2026-05-21 05:06
284.16,"paris, France",1028,2026-05-21 05:05
284.16,"Paris, Kentucky ",1028,2026-05-21 05:05
282.62,london,1028,2026-05-21 05:05
294.49,"Washington, District of Columbia",1018,2026-05-21 05:05
284.16,"paris, France",1028,2026-05-21 05:04
284.16,"Paris, Kentucky ",1028,2026-05-21 05:04
282.62,london,1028,2026-05-21 05:04
294.49,"Washington, District of Columbia",1018,2026-05-21 05:04
284.07,"paris, France",1028,2026-05-21 04:54
284.07,"Paris, Kentucky ",1028,2026-05-21 04:54
282.62,london,1028,2026-05-21 04:54
294.51,"Washington, District of Columbia",1018,2026-05-21 04:54
284.07,"paris, France",1028,2026-05-21 04:53
284.07,"Paris, Kentucky ",1028,2026-05-21 04:53
282.62,london,1028,2026-05-21 04:53
294.51,"Washington, District of Columbia",1018,2026-05-21 04:53
284.07,"paris, France",1028,2026-05-21 04:52
284.07,"Paris, Kentucky ",1028,2026-05-21 04:52
282.62,london,1028,2026-05-21 04:52
