temperature,city,pression,date
285.16,"paris, France",1028,2026-05-20 23:53
285.04,"Paris, Kentucky ",1028,2026-05-20 23:53
284.85,london,1028,2026-05-20 23:53
296.91,"Washington, District of Columbia",1016,2026-05-20 23:53
285.2,"paris, France",1028,2026-05-20 23:39
285.2,"Paris, Kentucky ",1028,2026-05-20 23:39
285.4,london,1028,2026-05-20 23:39
296.9,"Washington, District of Columbia",1016,2026-05-20 23:39
285.52,"paris, France",1028,2026-05-20 23:29
285.52,"Paris, Kentucky ",1028,2026-05-20 23:29
285.4,london,1027,2026-05-20 23:29
296.81,"Washington, District of Columbia",1015,2026-05-20 23:29
285.57,"paris, France",1028,2026-05-20 23:23
285.55,"Paris, Kentucky ",1028,2026-05-20 23:23
285.4,london,1027,2026-05-20 23:23
296.74,"Washington, District of Columbia",1015,2026-05-20 23:23
285.57,"paris, France",1028,2026-05-20 23:22
285.55,"Paris, Kentucky ",1028,2026-05-20 23:22
285.4,london,1027,2026-05-20 23:22
296.74,"Washington, District of Columbia",1015,2026-05-20 23:22
285.57,"paris, France",1028,2026-05-20 23:16
285.55,"Paris, Kentucky ",1028,2026-05-20 23:16
285.4,london,1027,2026-05-20 23:16
296.74,"Washington, District of Columbia",1015,2026-05-20 23:16
286.69,"paris, France",1028,2026-05-20 00:00
286.69,"Paris, Kentucky ",1028,2026-05-20 00:00
285.4,london,1027,2026-05-20 00:00
296.5,"Washington, District of Columbia",1015,2026-05-20 00:00
