id,name,categories,price,weight
9918290e-b809-4364-a846-101a0f9aed3e,Aquarius Jimi Hendrix Playing Cards,Toys & Games | Games & Accessories | Card Games | Standard Playing Card Decks,73275.67,2.4
bdcac854-46b6-4a9a-8691-539e8335b42f,Daron F-22 Best Lock Construction Toy (80 Pieces),Toys & Games | Play Vehicles | Vehicle Playsets,10.95,0.32
be581a31-32e0-4dbd-ba13-b64e1f820cea,Busch 1046 Beer Garden Set HO Scale Scenery Kit,Toys & Games | Hobbies | Trains & Accessories | Accessories | Scenery,33.81,5.6
10d3806f-e5e7-4272-b703-76a33f6cb189,"Hampton Nautical Wooden Charles W. Morgan Model Whaling Boat, 15""",Toys & Games | Hobbies | Models & Model Kits | Model Kits | Watercraft Kits,12929.28,
cfb0ba84-a121-4bc3-895a-04dcab2238ea,Step2 Lifestyle Dream Kitchen | Plastic Toy Play Kitchen with 37-Pc Accessories Set | Contemporary Kids Kitchen Playset,Toys & Games | Dress Up & Pretend Play | Pretend Play | Kitchen Toys | Kitchen Playsets,437724.8,36.2
299d17ba-d32a-41d1-a4a6-b57accaf4f47,KidKraft Disney Ariel Undersea Kingdom Dollhouse with Ez Kraft Assembly,Toys & Games | Dolls & Accessories | Dollhouses,129.99,57.8
d4d81887-c6aa-4038-bd37-8b00f287f082,Small World Toys Fashion - Collectible Erasers Boutique,Toys & Games | Arts & Crafts | Drawing & Painting Supplies | Pencil Erasers,266697.82,1.35
1e832bf3-0a50-4bee-a59c-208a7c3ca382,"Aurora 10"" Minkies Panda",Toys & Games | Stuffed Animals & Plush Toys | Stuffed Animals & Teddy Bears,14.69,5.1
1d6878de-482d-4c7e-ab4a-d794db1d0d13,Rubie's Ben Cooper Hulk Mask Adult Costume,"Clothing, Shoes & Jewelry | Costumes & Accessories | Men | Masks",77371.2,10.1
26b46638-90cb-4aa2-988e-b642db01ebc5,Trends International Paisley - Clear with Glitter,Toys & Games | Arts & Crafts | Stickers,3.99,0.32
26bb1b2c-4d4f-40ee-b7cb-f6f95b1c8e0d,"Amscan Award Medal Ribbons, Party Favor",Toys & Games | Party Supplies | Party Favors,4.06,3.2
2f39d9f4-cde5-470d-8d53-018a88452733,Calico Critters Cosmetic Counter,Toys & Games | Dolls & Accessories | Doll Accessories,31.99,6.4
9a403f86-ecaa-42d6-bc5e-d3fdc9f7d9b3,McFarlane Toys Cyberpunk 2077 12-inch Scale Johnny Silverhand Deluxe Figure,Toys & Games | Toy Figures & Playsets | Action Figures,39.99,8.6
6f1e0bb6-9705-447c-b452-94347ad512e0,"Forum Novelties Union Officer Child's Costume, Medium","Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Boys | Costumes",21.07,12.8
122e8045-f25b-4dce-b453-35b7443c96f8,"Stephan Baby Plush Knotty Animal Security Blankie, Lamb","Baby Products | Baby Care | Pacifiers, Teethers & Teething Relief | Teethers",8.99,2.7
c26eb4c6-8fb4-4231-a681-0901358a26f9,Click N' Play 12 Piece Mini Stainless Steel Pots and Pans Cookware Pretend Playset with Play Food,Toys & Games | Dress Up & Pretend Play | Pretend Play,18.9,9.6
3de2cc1f-131c-4cee-b9df-1f8ac6b001a4,"Gigantosaurus Giganto Roar & Stomp Action Figure with Articulated Limbs, Dino Toy Stands 8.5"" Tall & 14"" Long, Dinosaur Toys with Sounds for Boys & Girls 3 Years Old & Up","Toys & Games | Collectible Toys | Statues, Bobbleheads & Busts | Statues",11.01,2.2
